REGION,States/UTs,District,Year,CRIME_TYPE,COUNT
Telangana (state),Telangana,Karimnagar,2014,Using forged or counterfeiting currency/Bank notes,0
Telangana (state),Telangana,Karimnagar,2014,Voyeurism,0
Telangana (state),Telangana,Khammam,2014,Acid attack,0
Telangana (state),Telangana,Khammam,2014,Arson,16
Telangana (state),Telangana,Khammam,2014,Assault on Women with intent to outrage her Modesty,351
Telangana (state),Telangana,Khammam,2014,Assault or use of criminal force to women with intent to Disrobe,1
Telangana (state),Telangana,Khammam,2014,At Office premises,0
Telangana (state),Telangana,Khammam,2014,Attempt to Acid Attack,0
Telangana (state),Telangana,Khammam,2014,Attempt to commit Culpable Homicide,0
Telangana (state),Telangana,Khammam,2014,Attempt to commit Murder,85
Telangana (state),Telangana,Khammam,2014,Attempt to commit Rape,2
Telangana (state),Telangana,Khammam,2014,Auto Theft,278
Telangana (state),Telangana,Khammam,2014,Causing Death by Negligence,482
Telangana (state),Telangana,Khammam,2014,Cheating,845
Telangana (state),Telangana,Khammam,2014,Counterfeit Offences related to Counterfeit Coin,0
Telangana (state),Telangana,Khammam,2014,Counterfeit currency & Bank notes,1
Telangana (state),Telangana,Khammam,2014,Counterfeiting,1
Telangana (state),Telangana,Khammam,2014,Counterfeiting Government Stamp,0
Telangana (state),Telangana,Khammam,2014,Counterfeiting currency notes/Bank notes,1
Telangana (state),Telangana,Khammam,2014,Criminal Breach of Trust,40
Telangana (state),Telangana,Khammam,2014,Criminal Trespass or Burglary,334
Telangana (state),Telangana,Khammam,2014,Criminal Trespass/Burglary,432
Telangana (state),Telangana,Khammam,2014,Cruelty by Husband or his Relatives,530
Telangana (state),Telangana,Khammam,2014,Culpable Homicide not amounting to Murder,7
Telangana (state),Telangana,Khammam,2014,Custodial Rape,0
Telangana (state),Telangana,Khammam,2014,Custodial_Gang Rape,0
Telangana (state),Telangana,Khammam,2014,Custodial_Other Rape,0
Telangana (state),Telangana,Khammam,2014,Dacoity,1
Telangana (state),Telangana,Khammam,2014,Dacoity with Murder,0
Telangana (state),Telangana,Khammam,2014,Deaths due to Other Causes,0
Telangana (state),Telangana,Khammam,2014,Deaths due to negligent driving/act,482
Telangana (state),Telangana,Khammam,2014,Disclosure of Identity of Victims,0
Telangana (state),Telangana,Khammam,2014,Dowry Deaths,18
Telangana (state),Telangana,Khammam,2014,Extortion,10
Telangana (state),Telangana,Khammam,2014,Forgery,0
Telangana (state),Telangana,Khammam,2014,Grievous Hurt,50
Telangana (state),Telangana,Khammam,2014,House Trespass & House Breaking,98
Telangana (state),Telangana,Khammam,2014,HumanTrafficking,0
Telangana (state),Telangana,Khammam,2014,Hurt,50
Telangana (state),Telangana,Khammam,2014,Importation of Girls from Foreign Country,0
Telangana (state),Telangana,Khammam,2014,"Imputation, assertions prejudicial to national integration",0
Telangana (state),Telangana,Khammam,2014,In Public Transport system,0
Telangana (state),Telangana,Khammam,2014,Incidence of Rash Driving,3347
Telangana (state),Telangana,Khammam,2014,Insult to the Modesty of Women,133
Telangana (state),Telangana,Khammam,2014,Kidnapping & Abduction,0
